Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Lz[Wm**3] for tau[ms]=    0.1
 1.772e-37 2.916e-37 4.800e-37 7.899e-37 1.300e-36 2.139e-36 3.520e-36 5.790e-36
 8.636e-36 1.242e-35 1.785e-35 2.565e-35 3.682e-35 5.281e-35 7.571e-35 1.051e-34
 1.375e-34 1.799e-34 2.361e-34 3.120e-34 4.173e-34 5.680e-34 7.833e-34 1.014e-33
 1.330e-33 1.761e-33 2.345e-33 3.121e-33 4.127e-33 5.436e-33 6.708e-33 8.069e-33
 9.640e-33 1.145e-32 1.358e-32 1.621e-32 1.938e-32 2.267e-32 2.570e-32 2.922e-32
 3.332e-32 3.815e-32 4.379e-32 5.027e-32 5.743e-32 6.293e-32 6.898e-32 7.564e-32
 8.325e-32 9.169e-32 1.010e-31 1.113e-31 1.193e-31 1.268e-31 1.347e-31 1.434e-31
 1.524e-31 1.617e-31 1.712e-31 1.788e-31 1.839e-31 1.891e-31 1.947e-31 2.001e-31
 2.053e-31 2.102e-31 2.144e-31 2.153e-31 2.168e-31 2.185e-31 2.201e-31 2.215e-31
 2.228e-31 2.237e-31 2.224e-31 2.215e-31 2.203e-31 2.188e-31 2.167e-31 2.140e-31
 2.106e-31 2.059e-31 2.009e-31 1.952e-31 1.889e-31 1.817e-31 1.738e-31 1.651e-31
 1.565e-31 1.482e-31 1.396e-31 1.308e-31 1.219e-31 1.131e-31 1.045e-31 9.782e-32
 9.164e-32 8.582e-32 8.046e-32 7.561e-32 7.128e-32 6.751e-32 6.522e-32 6.309e-32
 6.107e-32 5.937e-32 5.797e-32 5.689e-32 5.623e-32 5.613e-32 5.614e-32 5.595e-32
 5.592e-32 5.605e-32 5.629e-32 5.676e-32 5.744e-32 5.821e-32 5.856e-32 5.897e-32
 5.943e-32 5.994e-32 6.056e-32 6.123e-32 6.193e-32 6.237e-32 6.267e-32 6.297e-32
 6.328e-32 6.368e-32 6.406e-32 6.444e-32 6.470e-32 6.470e-32 6.469e-32 6.470e-32
 6.476e-32 6.482e-32 6.485e-32 6.486e-32 6.455e-32 6.423e-32 6.396e-32 6.372e-32
 6.347e-32 6.321e-32 6.293e-32 6.251e-32 6.203e-32 6.163e-32 6.125e-32 6.086e-32
 6.046e-32 6.006e-32 5.960e-32 5.900e-32 5.850e-32 5.800e-32 5.751e-32 5.701e-32
 5.651e-32 5.601e-32 5.530e-32 5.464e-32 5.400e-32 5.336e-32 5.274e-32 5.212e-32
 5.150e-32 5.072e-32 4.989e-32 4.908e-32 4.829e-32 4.751e-32 4.674e-32 4.599e-32
 4.522e-32 4.436e-32 4.352e-32 4.270e-32 4.189e-32 4.110e-32 4.033e-32 3.960e-32
 3.884e-32 3.810e-32 3.737e-32 3.666e-32 3.596e-32 3.529e-32 3.464e-32 3.399e-32
 3.334e-32 3.271e-32 3.209e-32 3.148e-32 3.090e-32 3.033e-32 2.977e-32 2.921e-32
Lz[Wm**3] for tau[ms]=    1.0
 1.772e-37 2.916e-37 4.798e-37 7.893e-37 1.298e-36 2.133e-36 3.501e-36 5.735e-36
 8.511e-36 1.215e-35 1.727e-35 2.441e-35 3.428e-35 4.781e-35 6.673e-35 9.080e-35
 1.170e-34 1.536e-34 2.073e-34 2.878e-34 4.082e-34 5.860e-34 8.375e-34 1.086e-33
 1.397e-33 1.778e-33 2.235e-33 2.783e-33 3.510e-33 4.439e-33 5.341e-33 6.374e-33
 7.669e-33 9.277e-33 1.127e-32 1.372e-32 1.667e-32 1.977e-32 2.266e-32 2.596e-32
 2.977e-32 3.425e-32 3.948e-32 4.554e-32 5.232e-32 5.776e-32 6.372e-32 7.022e-32
 7.743e-32 8.528e-32 9.376e-32 1.029e-31 1.097e-31 1.160e-31 1.223e-31 1.291e-31
 1.360e-31 1.428e-31 1.496e-31 1.543e-31 1.569e-31 1.596e-31 1.628e-31 1.658e-31
 1.686e-31 1.712e-31 1.731e-31 1.721e-31 1.712e-31 1.701e-31 1.679e-31 1.647e-31
 1.599e-31 1.536e-31 1.442e-31 1.353e-31 1.255e-31 1.145e-31 1.026e-31 9.028e-32
 7.791e-32 6.634e-32 5.742e-32 4.945e-32 4.251e-32 3.660e-32 3.165e-32 2.756e-32
 2.457e-32 2.234e-32 2.050e-32 1.902e-32 1.790e-32 1.712e-32 1.669e-32 1.675e-32
 1.689e-32 1.722e-32 1.774e-32 1.850e-32 1.949e-32 2.069e-32 2.203e-32 2.338e-32
 2.473e-32 2.618e-32 2.766e-32 2.922e-32 3.080e-32 3.235e-32 3.386e-32 3.517e-32
 3.648e-32 3.777e-32 3.896e-32 4.007e-32 4.111e-32 4.207e-32 4.270e-32 4.323e-32
 4.366e-32 4.397e-32 4.419e-32 4.434e-32 4.438e-32 4.417e-32 4.377e-32 4.325e-32
 4.260e-32 4.203e-32 4.135e-32 4.057e-32 3.965e-32 3.855e-32 3.736e-32 3.618e-32
 3.515e-32 3.407e-32 3.296e-32 3.181e-32 3.059e-32 2.937e-32 2.831e-32 2.738e-32
