Radiated power Lz per atom during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
P[W/m**3] = Lz * n_imp[m**-3] * ne[m**-3]
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 1.000e+00 1.047e+00 1.097e+00 1.149e+00 1.203e+00 1.260e+00 1.320e+00 1.383e+00
 1.448e+00 1.517e+00 1.589e+00 1.664e+00 1.743e+00 1.825e+00 1.912e+00 2.002e+00
 2.097e+00 2.196e+00 2.300e+00 2.409e+00 2.524e+00 2.643e+00 2.768e+00 2.899e+00
 3.037e+00 3.181e+00 3.331e+00 3.489e+00 3.654e+00 3.827e+00 4.009e+00 4.199e+00
 4.398e+00 4.606e+00 4.824e+00 5.053e+00 5.292e+00 5.543e+00 5.805e+00 6.080e+00
 6.368e+00 6.670e+00 6.986e+00 7.317e+00 7.663e+00 8.026e+00 8.407e+00 8.805e+00
 9.222e+00 9.659e+00 1.012e+01 1.060e+01 1.110e+01 1.162e+01 1.217e+01 1.275e+01
 1.335e+01 1.399e+01 1.465e+01 1.534e+01 1.607e+01 1.683e+01 1.763e+01 1.846e+01
 1.934e+01 2.026e+01 2.121e+01 2.222e+01 2.327e+01 2.437e+01 2.553e+01 2.674e+01
 2.801e+01 2.933e+01 3.072e+01 3.218e+01 3.370e+01 3.530e+01 3.697e+01 3.872e+01
 4.055e+01 4.248e+01 4.449e+01 4.660e+01 4.880e+01 5.111e+01 5.354e+01 5.607e+01
 5.873e+01 6.151e+01 6.442e+01 6.748e+01 7.067e+01 7.402e+01 7.753e+01 8.120e+01
 8.504e+01 8.907e+01 9.329e+01 9.771e+01 1.023e+02 1.072e+02 1.123e+02 1.176e+02
 1.232e+02 1.290e+02 1.351e+02 1.415e+02 1.482e+02 1.552e+02 1.626e+02 1.703e+02
 1.783e+02 1.868e+02 1.956e+02 2.049e+02 2.146e+02 2.248e+02 2.354e+02 2.466e+02
 2.583e+02 2.705e+02 2.833e+02 2.967e+02 3.108e+02 3.255e+02 3.409e+02 3.571e+02
 3.740e+02 3.917e+02 4.103e+02 4.297e+02 4.501e+02 4.714e+02 4.937e+02 5.171e+02
 5.416e+02 5.672e+02 5.941e+02 6.223e+02 6.517e+02 6.826e+02 7.149e+02 7.488e+02
 7.843e+02 8.214e+02 8.603e+02 9.011e+02 9.438e+02 9.885e+02 1.035e+03 1.084e+03
 1.136e+03 1.190e+03 1.246e+03 1.305e+03 1.367e+03 1.431e+03 1.499e+03 1.570e+03
 1.645e+03 1.723e+03 1.804e+03 1.890e+03 1.979e+03 2.073e+03 2.171e+03 2.274e+03
 2.382e+03 2.495e+03 2.613e+03 2.736e+03 2.866e+03 3.002e+03 3.144e+03 3.293e+03
 3.449e+03 3.612e+03 3.783e+03 3.963e+03 4.150e+03 4.347e+03 4.553e+03 4.769e+03
 4.995e+03 5.231e+03 5.479e+03 5.738e+03 6.010e+03 6.295e+03 6.593e+03 6.906e+03
 7.233e+03 7.575e+03 7.934e+03 8.310e+03 8.704e+03 9.116e+03 9.548e+03 1.000e+04
Lz[Wm**3] for tau[ms]=    0.1
 4.762e-35 6.257e-35 8.196e-35 1.071e-34 1.396e-34 1.812e-34 2.344e-34 3.022e-34
 3.888e-34 4.922e-34 5.893e-34 7.089e-34 8.587e-34 1.049e-33 1.291e-33 1.599e-33
 1.876e-33 2.205e-33 2.596e-33 3.062e-33 3.615e-33 4.272e-33 5.055e-33 5.990e-33
 7.016e-33 7.899e-33 8.897e-33 1.002e-32 1.130e-32 1.274e-32 1.437e-32 1.621e-32
 1.829e-32 2.063e-32 2.328e-32 2.604e-32 2.823e-32 3.059e-32 3.314e-32 3.591e-32
 3.890e-32 4.217e-32 4.572e-32 4.860e-32 5.159e-32 5.474e-32 5.803e-32 6.144e-32
 6.491e-32 6.837e-32 7.151e-32 7.381e-32 7.593e-32 7.781e-32 7.937e-32 8.054e-32
 8.124e-32 8.136e-32 8.081e-32 7.972e-32 7.833e-32 7.646e-32 7.407e-32 7.116e-32
 6.772e-32 6.410e-32 6.099e-32 5.770e-32 5.425e-32 5.069e-32 4.709e-32 4.349e-32
 3.996e-32 3.654e-32 3.384e-32 3.181e-32 2.987e-32 2.802e-32 2.627e-32 2.461e-32
 2.306e-32 2.161e-32 2.025e-32 1.899e-32 1.782e-32 1.689e-32 1.618e-32 1.552e-32
 1.490e-32 1.433e-32 1.380e-32 1.332e-32 1.290e-32 1.258e-32 1.230e-32 1.204e-32
 1.183e-32 1.165e-32 1.151e-32 1.142e-32 1.136e-32 1.131e-32 1.128e-32 1.128e-32
 1.131e-32 1.137e-32 1.146e-32 1.158e-32 1.173e-32 1.184e-32 1.194e-32 1.205e-32
 1.218e-32 1.233e-32 1.249e-32 1.261e-32 1.269e-32 1.278e-32 1.288e-32 1.298e-32
 1.310e-32 1.322e-32 1.335e-32 1.349e-32 1.356e-32 1.362e-32 1.367e-32 1.374e-32
 1.380e-32 1.387e-32 1.394e-32 1.402e-32 1.410e-32 1.418e-32 1.427e-32 1.430e-32
 1.431e-32 1.432e-32 1.433e-32 1.434e-32 1.434e-32 1.435e-32 1.434e-32 1.432e-32
 1.429e-32 1.426e-32 1.423e-32 1.420e-32 1.417e-32 1.414e-32 1.408e-32 1.402e-32
 1.396e-32 1.390e-32 1.383e-32 1.377e-32 1.371e-32 1.364e-32 1.358e-32 1.351e-32
 1.344e-32 1.337e-32 1.330e-32 1.324e-32 1.317e-32 1.309e-32 1.302e-32 1.294e-32
 1.287e-32 1.279e-32 1.272e-32 1.264e-32 1.257e-32 1.249e-32 1.242e-32 1.234e-32
 1.227e-32 1.219e-32 1.212e-32 1.205e-32 1.197e-32 1.190e-32 1.183e-32 1.176e-32
 1.168e-32 1.160e-32 1.152e-32 1.144e-32 1.135e-32 1.127e-32 1.119e-32 1.111e-32
 1.104e-32 1.096e-32 1.089e-32 1.082e-32 1.075e-32 1.068e-32 1.061e-32 1.054e-32
Lz[Wm**3] for tau[ms]=    1.0
 4.350e-35 5.529e-35 6.955e-35 8.683e-35 1.082e-34 1.357e-34 1.732e-34 2.262e-34
 3.020e-34 4.013e-34 4.996e-34 6.245e-34 7.829e-34 9.833e-34 1.237e-33 1.555e-33
 1.837e-33 2.171e-33 2.566e-33 3.034e-33 3.592e-33 4.263e-33 5.079e-33 6.089e-33
 7.224e-33 8.156e-33 9.204e-33 1.038e-32 1.170e-32 1.319e-32 1.486e-32 1.676e-32
 1.892e-32 2.140e-32 2.428e-32 2.740e-32 2.991e-32 3.272e-32 3.585e-32 3.934e-32
 4.316e-32 4.724e-32 5.145e-32 5.445e-32 5.719e-32 5.959e-32 6.154e-32 6.286e-32
 6.339e-32 6.289e-32 6.129e-32 5.922e-32 5.637e-32 5.271e-32 4.831e-32 4.329e-32
 3.788e-32 3.239e-32 2.713e-32 2.297e-32 1.988e-32 1.713e-32 1.473e-32 1.266e-32
 1.087e-32 9.438e-33 8.454e-33 7.573e-33 6.786e-33 6.083e-33 5.455e-33 4.895e-33
 4.394e-33 3.947e-33 3.616e-33 3.379e-33 3.159e-33 2.955e-33 2.766e-33 2.593e-33
 2.434e-33 2.290e-33 2.161e-33 2.049e-33 1.955e-33 1.891e-33 1.853e-33 1.826e-33
 1.813e-33 1.817e-33 1.839e-33 1.882e-33 1.945e-33 2.002e-33 2.074e-33 2.161e-33
 2.264e-33 2.385e-33 2.524e-33 2.680e-33 2.817e-33 2.926e-33 3.039e-33 3.158e-33
 3.282e-33 3.409e-33 3.540e-33 3.673e-33 3.807e-33 3.895e-33 3.962e-33 4.025e-33
 4.081e-33 4.129e-33 4.164e-33 4.174e-33 4.162e-33 4.141e-33 4.109e-33 4.066e-33
 4.013e-33 3.947e-33 3.871e-33 3.785e-33 3.709e-33 3.637e-33 3.562e-33 3.485e-33
 3.406e-33 3.327e-33 3.247e-33 3.166e-33 3.086e-33 3.007e-33 2.928e-33 2.862e-33
 2.801e-33 2.741e-33 2.683e-33 2.625e-33 2.569e-33 2.514e-33 2.465e-33 2.424e-33
